,tipo_transaccion,nombre_comercio,giro_nombre,mcc_nombre,fecha_transaccion,ope_pais,entry_mode,sexo_cliente,estado_cliente,edad_cliente,monto_transaccion,id_cliente,tiempo,cluster,hormiga
662,TDD,AMAZON PRIME          CIUDAD DE MEX001,ENTRETENIMIENTO,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,04/02/23,MX,CARD NOT PRESENT,M,MEXICO,54,59.35,5709,88,4,
663,TDD,SUPER KIOSKO 4190 HOGAMAZATLAN SIN SI,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",16/12/22,MX,CARD PRESENT,M,SINALOA,31,22.92,6285,38,4,
664,TDC,BAZ SUPER APP         CIUDAD DE MEX001,OTROS,SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS,12/02/23,MX,CARD NOT PRESENT,M,MEXICO,28,508.96,4151,96,3,
665,TDD,DLOCAL*DIDI RIDES MX  CIUDAD DE MEX09,AGREGADOR,AGREGADOR,20/11/22,MX,CARD NOT PRESENT,F,NUEVO LEON,41,39.51,9073,12,4,
666,TDD,PAYPAL3               MEXICO DF    DF,AGREGADOR,AGREGADOR,03/03/23,MX,CARD NOT PRESENT,F,GUANAJUATO,21,67.34,2972,115,4,
667,TDD,MERCADO PAGO          CIUDAD DE MEXDF,OTROS,MERCADEO DIRECTO - NO CLASIFICADO,16/11/22,MX,CARD NOT PRESENT,F,MEXICO,27,282.17,8095,8,2,
2630,TDC,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",29/12/22,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,28,37.27,98,51,4,1
669,TDD,CINEPOLIS APP MIX     MORELIA MICH 16,ENTRETENIMIENTO,"CINES, TEATROS",09/11/22,MX,CARD NOT PRESENT,M,NUEVO LEON,33,184.1,9286,1,2,
3771,TDD,D LOCAL*DIDI RIDES    CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",03/03/23,MX,CARD NOT PRESENT,M,CHIAPAS,34,32.06,344,115,4,1
1302,TDC,D LOCAL*RAPPI         CIUDAD DE MEX001,OTROS,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,01/12/22,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,47,19.94,44,23,4,1
672,TDC,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",02/01/23,MX,CARD NOT PRESENT,M,QUERETARO,45,22.7,590,55,4,1
673,TDD,PAYPAL *UBER BV          35314369001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",01/03/23,NL,CARD NOT PRESENT,F,NUEVO LEON,33,41.08,1321,113,4,1
674,TDC,STP*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",11/01/23,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,37,48.76,3733,64,4,
675,TDC,SHOPPE MX             MIGUEL HIDALGDF,OTROS,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,03/01/23,MX,CARD NOT PRESENT,M,COAHUILA DE ZARAGOZA,30,173.28,4415,56,2,
676,TDD,STP*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",14/12/22,MX,CARD NOT PRESENT,F,NUEVO LEON,33,41.28,1321,36,4,1
677,TDD,BP*AGREGADOR          GUADALAJARA J014,AGREGADOR,AGREGADOR,03/12/22,MX,CARD PRESENT,M,JALISCO,29,79.81,8475,25,4,
678,TDC,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",30/11/22,MX,CARD NOT PRESENT,F,NUEVO LEON,34,28.55,5752,22,4,
679,TDC,DLOCAL*DIDI FOOD CA   CIUDAD DE MEX09,COMIDA RAPIDA,COMIDA RAPIDA,13/02/23,MX,CARD NOT PRESENT,M,MEXICO,30,232.01,5051,97,2,
680,TDC,DLOCAL*DIDI FOOD CA   CIUDAD DE MEX09,AGREGADOR,AGREGADOR,08/12/22,MX,CARD NOT PRESENT,M,JALISCO,31,80.31,626,30,4,1
681,TDD,SHOPPE MX             MIGUEL HIDALGDF,OTROS,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,08/01/23,MX,CARD NOT PRESENT,F,COAHUILA DE ZARAGOZA,31,102.27,7775,61,4,
682,TDD,MINI SUPER YEPAS      BOCA DEL RIO VE,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",24/02/23,MX,CARD PRESENT,M,VERACRUZ DE IGNACIO DE LA LLAV,24,58.1,4359,108,4,
683,TDC,APPLE.COM/BILL           866-712-7753,RETAIL,TIENDA DE DISCOS,29/12/22,US,CARD NOT PRESENT,F,JALISCO,34,18.43,4256,51,4,
684,TDD,Google Playrix Games     650-2530000,OTROS,SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS,18/01/23,US,CARD NOT PRESENT,F,NUEVO LEON,42,34.4,7271,71,4,
685,TDC,STR*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",01/03/23,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,37,126.73,3733,113,4,
686,TDD,STRIPE *UBER PENDING  CIUDAD DE MEXCMX,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",31/01/23,MX,CARD NOT PRESENT,F,MEXICO,27,64.82,8095,84,4,
687,TDD,SC*BETWAY             CIUDAD DE MEX001,OTROS,"BANDAS, ORQUESTAS, GRUPOS,DIVERSIONES NO CLASIFICA",08/11/22,MX,CARD NOT PRESENT,F,VERACRUZ DE IGNACIO DE LA LLAV,23,159.65,1551,0,2,
688,TDC,ABAR MERZA HELIODORO HGUADALAJARA JJA,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",01/12/22,MX,CARD PRESENT,M,JALISCO,31,27.91,626,23,4,1
689,TDD,DLOCAL*DIDI FOOD      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",08/12/22,MX,CARD NOT PRESENT,F,NUEVO LEON,44,104.26,9305,30,4,
690,TDD,BP*ENT JUEGOS2        CIUDAD DE MEX001,ENTRETENIMIENTO,"FERIAS,CIRCOS,PARQUES DE DIVERSION,ADIVINOS, LECTU",07/01/23,MX,CARD PRESENT,F,SAN LUIS POTOSI,60,119.73,6324,60,4,
691,TDD,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,07/12/22,MX,CARD PRESENT,M,CIUDAD DE MEXICO,24,36.15,8619,29,4,
692,TDC,STRIPE *UBER TRIP     CIUDAD DE MEXCMX,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",08/02/23,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,37,151.92,3733,92,2,
693,TDC,JOHNNY S PLACE           LIMON,RESTAURANTE,"BARES,BEBIDAS ALCOHOLICAS,TABERNAS,DISCOTECAS",01/12/22,CR,CARD PRESENT,M,BAJA CALIFORNIA,49,97.89,6177,23,4,
694,TDC,CINEPOLIS APP TICKETS MORELIA MICH 16,ENTRETENIMIENTO,"CINES, TEATROS",26/02/23,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,34,53.36,3916,110,4,
695,TDC,BIRRIA DON PEPE 2     CIUDAD DE MEX001,RESTAURANTE,RESTAURANTES,19/02/23,MX,CARD PRESENT,M,CIUDAD DE MEXICO,56,198.57,5601,103,2,
696,TDC,OXXO TIZAPAN MEX      MEXICO DF    DF,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",30/12/22,MX,CARD PRESENT,M,CIUDAD DE MEXICO,26,25.17,319,52,4,0
697,TDD,MERCADO PAGO          CIUDAD DE MEXDF,OTROS,MERCADEO DIRECTO - NO CLASIFICADO,06/02/23,MX,CARD NOT PRESENT,F,DURANGO,21,313.13,7251,90,2,
698,TDC,PROC DAT DRIVE CR     CIUDAD DE MEX001,OTROS,SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS,01/02/23,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,28,26.92,7588,85,4,
699,TDD,OPENPAY*APLAZ SA DE CVMIGUEL HIDALGCMX,AGREGADOR,AGREGADOR,04/01/23,MX,CARD NOT PRESENT,M,JALISCO,31,217.9,626,57,2,1
700,TDD,TCONE*AGREGADOR       CIUDAD DE MEX09,AGREGADOR,AGREGADOR,27/02/23,MX,CARD PRESENT,M,JALISCO,37,106.51,6485,111,4,
701,TDD,AMZN Mktp US             Amzn.com/bill,RETAIL,LIBRERIAS,14/12/22,US,CARD NOT PRESENT,M,JALISCO,34,271.5,8886,36,2,
702,TDD,DLOCAL*DIDI FOOD      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",06/03/23,MX,CARD NOT PRESENT,F,MEXICO,19,172.63,7061,118,2,
703,TDD,DLOCAL*DIDI RIDES CA  CIUDAD DE MEX09,AGREGADOR,AGREGADOR,27/12/22,MX,CARD NOT PRESENT,F,NUEVO LEON,41,37.98,9073,49,4,
704,TDD,DLOCAL*DIDI FOOD CA   CIUDAD DE MEX09,COMIDA RAPIDA,COMIDA RAPIDA,02/02/23,MX,CARD NOT PRESENT,M,QUERETARO,15,57.36,7089,86,4,
705,TDC,BAZ SUPER APP         CIUDAD DE MEX001,OTROS,SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS,12/01/23,MX,CARD NOT PRESENT,M,MEXICO,28,259.45,4151,65,2,
706,TDD,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",11/12/22,MX,CARD NOT PRESENT,F,NUEVO LEON,20,58.61,5674,33,4,
707,TDC,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",04/02/23,MX,CARD NOT PRESENT,F,MEXICO,42,73.21,5814,88,4,
708,TDC,7 ELEVEN PADRE MIER OTMONTERREY NL NL,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",27/12/22,MX,CARD PRESENT,F,NUEVO LEON,23,18.18,4920,49,4,
709,TDD,MERCADO PAGO          CIUDAD DE MEXDF,OTROS,MERCADEO DIRECTO - NO CLASIFICADO,23/02/23,MX,CARD NOT PRESENT,M,CHIAPAS,25,14.94,5446,107,4,
710,TDC,D LOCAL*INDRIVE       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,24/12/22,MX,CARD NOT PRESENT,M,JALISCO,25,34.9,2988,46,4,
711,TDC,MERCADO PAGO 5        CIUDAD DE MEX001,OTROS,MERCADO DIRECTO - VENTAS POR CATALOGO,13/02/23,MX,CARD NOT PRESENT,M,MEXICO,22,14.94,5444,97,4,
712,TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,06/03/23,MX,CARD NOT PRESENT,M,NAYARIT,26,57.85,155,118,4,0
713,TDC,ZORRO PACHUCA         PACHUCA DE SOHI,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",09/01/23,MX,CARD PRESENT,M,MEXICO,30,142,827,62,2,0
714,TDD,ITALIAN SAN MIGUEL A  SANMIGUEL DE00,RESTAURANTE,RESTAURANTES,24/01/23,MX,CARD PRESENT,F,GUANAJUATO,36,62.35,8159,77,4,
715,TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,28/12/22,MX,CARD NOT PRESENT,M,NUEVO LEON,44,59.85,1878,50,4,
716,TDC,STP*UBER TRIP         CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",07/01/23,MX,CARD NOT PRESENT,F,MEXICO,26,59.83,8867,60,4,
717,TDD,DLOCAL*DIDI FOOD      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",23/12/22,MX,CARD NOT PRESENT,F,NUEVO LEON,41,110.75,9073,45,4,
718,TDC,BAZ SUPER APP         CIUDAD DE MEX001,OTROS,SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS,14/01/23,MX,CARD NOT PRESENT,M,MEXICO,28,334.3,4151,67,2,
719,TDC,STR*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",26/02/23,MX,CARD NOT PRESENT,M,JALISCO,19,54.86,9748,110,4,
720,TDC,UBR* PENDING.UBER.COM    Amsterdam,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",05/03/23,MX,CARD NOT PRESENT,M,MEXICO,27,34.9,6948,117,4,
721,TDC,OF                       London,OTROS,"MERCADEO DIRECTO, SERVICIOS POR TELEFONO.",12/11/22,GB,CARD NOT PRESENT,M,NAYARIT,26,66.49,155,4,4,1
722,TDD,HTECH COM TELCEL      SN PEDRO GARZ019,RETAIL,COMPUTADORAS EQUIPO PERIF DE COMPUTADORAS SOFTWARE,06/01/23,MX,CARD NOT PRESENT,M,CAMPECHE,48,17.44,4752,59,4,
723,TDD,STP*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",07/12/22,MX,CARD NOT PRESENT,M,NUEVO LEON,21,43.37,9840,29,4,
724,TDC,NETFLIX COM           CIUDAD DE MEXDF,OTROS,MERCADEO DIRECTO - NO CLASIFICADO,30/12/22,MX,CARD NOT PRESENT,M,QUERETARO,40,159.15,6074,52,2,
725,TDD,CONEKTA*PARCO         ZAPOPAN JAL  014,OTROS,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,20/11/22,MX,CARD NOT PRESENT,F,JALISCO,19,109.75,3289,12,4,
726,TDD,OXXOLERDO DE TEJADA MTGUADALUPE NL NL,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",17/11/22,MX,CARD PRESENT,F,NUEVO LEON,41,131.46,9073,9,4,
104,TDC,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",02/01/23,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,28,81.44,98,55,4,1
728,TDD,MERCADO PAGO          CIUDAD DE MEXDF,OTROS,MERCADEO DIRECTO - NO CLASIFICADO,15/12/22,MX,CARD NOT PRESENT,M,MEXICO,32,246.98,378,37,2,0
729,TDC,PASAJE COYOACAN       CIUDAD DE MEXCMX,RETAIL,BOUTIQUES ROPA - PARA TODA LA FAMILIA,15/02/23,MX,CARD PRESENT,M,MEXICO,30,109.75,827,99,4,1
730,TDD,STP*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",10/01/23,MX,CARD NOT PRESENT,F,MORELOS,40,24.18,5104,63,4,
731,TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,06/12/22,MX,CARD NOT PRESENT,M,SONORA,27,205.26,9063,28,2,
732,TDC,LIB DEL SOTANO QRO    QUERETARO QROQU,RETAIL,LIBRERIAS,15/12/22,MX,CARD PRESENT,M,QUERETARO,45,326.32,590,37,2,0
733,TDD,Google Univision         650-2530000,OTROS,SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS,18/12/22,US,CARD NOT PRESENT,M,MEXICO,32,22.43,378,40,4,1
734,TDD,MERPAGO*NIVEL6        CIUDAD DE MEXDF,AGREGADOR,AGREGADOR,01/02/23,MX,CARD NOT PRESENT,M,GUANAJUATO,20,59.35,3642,85,4,
735,TDD,GOOGLE *YouTubePremium   g.co/helppay#,OTROS,BIENES DIGITALES APLICACIONES,24/11/22,GB,CARD NOT PRESENT,M,MEXICO,54,129.21,5709,16,4,
736,TDD,7 ELEVEN PADRE MIER OTMONTERREY NL NL,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",20/02/23,MX,CARD PRESENT,F,NUEVO LEON,23,31.91,4920,104,4,
737,TDC,D LOCAL*RAPPI         CIUDAD DE MEX001,OTROS,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,14/12/22,MX,CARD NOT PRESENT,M,CHIHUAHUA,22,21.98,1749,36,4,
738,TDC,STP*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",28/12/22,MX,CARD NOT PRESENT,M,MEXICO,30,97.5,827,50,4,1
739,TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,22/02/23,MX,CARD NOT PRESENT,M,JALISCO,30,371.73,1641,106,2,
740,TDD,DLOCAL*DIDI FOOD      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",02/03/23,MX,CARD NOT PRESENT,F,QUERETARO,26,88.29,6319,114,4,
741,TDD,D LOCAL*DIDI RIDES    CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",20/11/22,MX,CARD NOT PRESENT,M,COAHUILA DE ZARAGOZA,37,38.88,6261,12,4,
742,TDD,DLOCAL*DIDI FOOD      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",01/01/23,MX,CARD NOT PRESENT,F,NUEVO LEON,41,209.15,9073,54,2,
743,TDC,OF                       London,OTROS,"MERCADEO DIRECTO, SERVICIOS POR TELEFONO.",19/11/22,GB,CARD NOT PRESENT,M,NAYARIT,26,122.79,155,11,4,1
744,TDD,SITIO 300             CIUDAD DE MEXCMX,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",12/11/22,MX,CARD PRESENT,F,NUEVO LEON,27,179.61,7466,4,2,
745,TDD,MERCADO PAGO          CIUDAD DE MEXDF,OTROS,MERCADEO DIRECTO - NO CLASIFICADO,27/02/23,MX,CARD NOT PRESENT,M,CHIAPAS,25,305.63,5446,111,2,
746,TDD,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,03/12/22,MX,CARD NOT PRESENT,M,GUANAJUATO,20,10.44,3642,25,4,
747,TDC,ADO MOVIL CON 3DS     MEXICO DF    001,TRANSPORTE TERRESTRE DE PASAJEROS,AUTOBUSES FORANEOS,06/02/23,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,34,348.28,3916,90,2,
748,TDD,STRIPE *UBER PENDING  CIUDAD DE MEXCMX,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",06/03/23,MX,CARD NOT PRESENT,F,NUEVO LEON,44,69.81,9305,118,4,
749,TDC,SHOPPE MX             MIGUEL HIDALGDF,OTROS,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,23/01/23,MX,CARD NOT PRESENT,M,COAHUILA DE ZARAGOZA,30,260.45,4415,76,2,
750,TDC,DLOCAL*DIDI RIDES MX  CIUDAD DE MEX09,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",06/03/23,MX,CARD NOT PRESENT,M,JALISCO,25,63.73,2988,118,4,
751,TDD,MERCADO PAGO          CIUDAD DE MEXDF,OTROS,MERCADEO DIRECTO - NO CLASIFICADO,04/03/23,MX,CARD NOT PRESENT,M,CAMPECHE,48,298.87,4752,116,2,
752,TDD,HTECH COM TELCEL      SN PEDRO GARZ019,RETAIL,COMPUTADORAS EQUIPO PERIF DE COMPUTADORAS SOFTWARE,05/01/23,MX,CARD NOT PRESENT,M,CAMPECHE,48,17.44,4752,58,4,
753,TDD,CINEPOLIS APP TICKETS MORELIA MICH 16,ENTRETENIMIENTO,"CINES, TEATROS",27/01/23,MX,CARD NOT PRESENT,M,NUEVO LEON,53,108.75,4388,80,4,
754,TDD,MINI SUPER YEPAS      BOCA DEL RIO VE,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",30/01/23,MX,CARD PRESENT,M,VERACRUZ DE IGNACIO DE LA LLAV,24,33.15,4359,83,4,
755,TDC,DLOCAL*DIDI FOOD CA   CIUDAD DE MEX09,AGREGADOR,AGREGADOR,12/01/23,MX,CARD NOT PRESENT,M,MEXICO,57,157.16,2505,65,2,
756,TDC,OXXO LOBOS            TIJUANA BCN  BN,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",16/02/23,MX,CARD PRESENT,M,BAJA CALIFORNIA,49,36.4,6177,100,4,
757,TDD,D LOCAL*RIOTGAM       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,18/02/23,MX,CARD NOT PRESENT,M,VERACRUZ DE IGNACIO DE LA LLAV,24,134.2,4359,102,4,
758,TDC,STR*UBER EATS PENDING CIUDAD DE MEX001,OTROS,"TRASLADOS - FLETES, (SERVICIOS DE MENSAJERIA)",25/02/23,MX,CARD NOT PRESENT,M,SAN LUIS POTOSI,44,118.68,9052,109,4,
759,TDD,MERCADO PAGO          CIUDAD DE MEXDF,OTROS,MERCADEO DIRECTO - NO CLASIFICADO,17/11/22,MX,CARD NOT PRESENT,M,CHIAPAS,30,398.58,7154,9,3,
760,TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,03/12/22,MX,CARD NOT PRESENT,M,NUEVO LEON,44,39.89,1878,25,4,
761,TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,06/03/23,MX,CARD NOT PRESENT,M,NAYARIT,26,273.92,155,118,2,0
762,TDD,STR*UBER EATS PENDING CIUDAD DE MEX001,OTROS,"TRASLADOS - FLETES, (SERVICIOS DE MENSAJERIA)",03/03/23,MX,CARD NOT PRESENT,M,NUEVO LEON,20,133.03,5461,115,4,
763,TDD,7 ELEVEN MORENITA MIA SANNICOLAS NNL,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",29/12/22,MX,CARD PRESENT,M,NUEVO LEON,59,141.19,9575,51,2,
764,TDC,ACUAR SEALAND         CIUDAD DE MEXCMX,ENTRETENIMIENTO,"ACUARIOS, ESPECTACULOS MARINOS",02/01/23,MX,CARD PRESENT,M,JALISCO,40,268.43,2033,55,2,
765,TDD,SNP*JUANES            CIUDAD DE MEX001,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",16/01/23,MX,CARD PRESENT,F,NUEVO LEON,25,125.95,7441,69,4,
766,TDC,STR*UBER TRIP         CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",28/02/23,MX,CARD NOT PRESENT,M,NUEVO LEON,34,44.86,6592,112,4,
767,TDC,STP*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",11/12/22,MX,CARD NOT PRESENT,M,JALISCO,31,34.89,626,33,4,1
768,TDD,SR PAGO*MIBAITCOM     BENITO JUAREZ001,AGREGADOR,AGREGADOR,28/11/22,MX,CARD NOT PRESENT,F,NUEVO LEON,20,59.85,5674,20,4,
769,TDC,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",26/11/22,MX,CARD NOT PRESENT,M,QUERETARO,29,35.97,450,18,4,1
770,TDD,ADAMANTA LA FLORIDA 3 NAUCALPAN DE EM,ENTRETENIMIENTO,"CLUBS DEPORTIVOS MEMBRESIAS, CLUB CAMPESTRE",25/02/23,MX,CARD PRESENT,M,TLAXCALA,42,154.66,6307,109,2,
771,TDD,SR PAGO*MILLAS RETIRO MIGUEL HIDALG001,AGREGADOR,AGREGADOR,31/01/23,MX,CARD NOT PRESENT,M,GUANAJUATO,53,59.85,4372,84,4,
772,TDD,FACEBK ADS               fb.me/ads,RETAIL,SERVICIOS PUBLICITARIOS,21/11/22,IE,CARD NOT PRESENT,M,SINALOA,23,109.75,5736,13,4,
773,TDC,STP*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",30/11/22,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,37,113.92,3733,22,4,
774,TDC,LAGUNTIAS LAS HUERTAS TLAQUEPAQUE JJA,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",08/11/22,MX,CARD PRESENT,M,JALISCO,32,136.88,8606,0,4,
775,TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,09/01/23,MX,CARD NOT PRESENT,M,CHIHUAHUA,29,84.8,8031,62,4,
776,TDD,DLOCAL*RAPPI          CIUDAD DE MEX09,AGREGADOR,AGREGADOR,09/12/22,MX,CARD NOT PRESENT,M,NUEVO LEON,16,17.44,8620,31,4,
777,TDC,NETFLIX COM 1         MEXICO DF    DF,ENTRETENIMIENTO,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,19/12/22,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,56,159.15,5601,41,2,
778,TDC,ABAR MERZA HELIODORO HGUADALAJARA JJA,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",18/02/23,MX,CARD PRESENT,M,JALISCO,31,41.76,626,102,4,1
779,TDC,ABAR MERZA HELIODORO HGUADALAJARA JJA,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",17/02/23,MX,CARD PRESENT,M,JALISCO,31,76.44,626,101,4,1
780,TDD,FACEBK ADS               fb.me/ads,RETAIL,SERVICIOS PUBLICITARIOS,22/11/22,IE,CARD NOT PRESENT,M,SINALOA,23,309.35,5736,14,2,
781,TDD,STP*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",11/12/22,MX,CARD NOT PRESENT,M,GUANAJUATO,27,74.8,7719,33,4,
782,TDD,GOOGLE *YouTube          g.co/helppay#,ENTRETENIMIENTO,"RENTA DE VIDEOS  (VIDEOS),",04/03/23,GB,CARD NOT PRESENT,M,CHIAPAS,29,69.33,557,116,4,1
783,TDC,BAZ SUPER APP         CIUDAD DE MEX001,OTROS,SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS,19/01/23,MX,CARD NOT PRESENT,M,MORELOS,23,60.85,4981,72,4,
493,TDD,D LOCAL*HBO MAX       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,14/01/23,MX,CARD NOT PRESENT,M,CHIAPAS,34,47.13,344,67,4,1
785,TDD,TIENDA ERS            CIUDAD DE MEX001,RETAIL,SERVICIOS PUBLICITARIOS,24/12/22,MX,CARD PRESENT,F,NUEVO LEON,27,39.89,3244,46,4,
786,TDD,LIVERPOOL POR INTERNETMEXICO DF    000,OTROS,MERCADEO DIRECTO - NO CLASIFICADO,15/02/23,MX,CARD NOT PRESENT,M,VERACRUZ DE IGNACIO DE LA LLAV,34,259.45,7924,99,2,
787,TDD,12463 LEFTIES GALPACH PACHUCA DE SO13,RETAIL,ROPA CASUAL DAMAS LENCERIA,12/02/23,MX,CARD PRESENT,M,HIDALGO,24,175.62,4805,96,2,
